t = 0.2322; x1 = 0.213812; x2 = 0.026528
t = 0.2342; x1 = 0.211816; x2 = 0.0262908
t = 0.2362; x1 = 0.209848; x2 = 0.0260569
t = 0.2382; x1 = 0.207908; x2 = 0.0258262
t = 0.2402; x1 = 0.205996; x2 = 0.0255986
t = 0.2422; x1 = 0.20411; x2 = 0.0253742
t = 0.2442; x1 = 0.20225; x2 = 0.0251529
t = 0.2462; x1 = 0.200416; x2 = 0.0249345
t = 0.2482; x1 = 0.198607; x2 = 0.0247191
t = 0.2502; x1 = 0.196823; x2 = 0.0245066
t = 0.2522; x1 = 0.195063; x2 = 0.0242969
t = 0.2542; x1 = 0.193328; x2 = 0.02409
t = 0.2562; x1 = 0.191616; x2 = 0.0238858
t = 0.2582; x1 = 0.189927; x2 = 0.0236844
t = 0.2602; x1 = 0.188261; x2 = 0.0234855
t = 0.2622; x1 = 0.186617; x2 = 0.0232893
t = 0.2642; x1 = 0.184995; x2 = 0.0230956
t = 0.2662; x1 = 0.183394; x2 = 0.0229045
t = 0.2682; x1 = 0.181815; x2 = 0.0227158
t = 0.2702; x1 = 0.180256; x2 = 0.0225295
t = 0.2722; x1 = 0.178718; x2 = 0.0223456
t = 0.2742; x1 = 0.177199; x2 = 0.022164
t = 0.2762; x1 = 0.175701; x2 = 0.0219848
t = 0.2782; x1 = 0.174222; x2 = 0.0218078
t = 0.2802; x1 = 0.172762; x2 = 0.021633
t = 0.2822; x1 = 0.17132; x2 = 0.0214604
t = 0.2842; x1 = 0.169897; x2 = 0.0212899
t = 0.2862; x1 = 0.168492; x2 = 0.0211216
t = 0.2882; x1 = 0.167105; x2 = 0.0209553
t = 0.2902; x1 = 0.165735; x2 = 0.020791
t = 0.2922; x1 = 0.164383; x2 = 0.0206288
t = 0.2942; x1 = 0.163047; x2 = 0.0204685
t = 0.2962; x1 = 0.161728; x2 = 0.0203102
t = 0.2982; x1 = 0.160425; x2 = 0.0201537
t = 0.3002; x1 = 0.159138; x2 = 0.0199992
t = 0.3022; x1 = 0.157867; x2 = 0.0198465
t = 0.3042; x1 = 0.156612; x2 = 0.0196955
t = 0.3062; x1 = 0.155372; x2 = 0.0195464
t = 0.3082; x1 = 0.154146; x2 = 0.019399
t = 0.3102; x1 = 0.152936; x2 = 0.0192534
t = 0.3122; x1 = 0.15174; x2 = 0.0191094
t = 0.3142; x1 = 0.150558; x2 = 0.0189672
t = 0.3162; x1 = 0.14939; x2 = 0.0188265
t = 0.3182; x1 = 0.148237; x2 = 0.0186875
t = 0.3202; x1 = 0.147096; x2 = 0.01855
t = 0.3222; x1 = 0.145969; x2 = 0.0184142
t = 0.3242; x1 = 0.144856; x2 = 0.0182798
t = 0.3262; x1 = 0.143755; x2 = 0.018147
t = 0.3282; x1 = 0.142667; x2 = 0.0180157
t = 0.3302; x1 = 0.141591; x2 = 0.0178858
t = 0.3322; x1 = 0.140528; x2 = 0.0177574
t = 0.3342; x1 = 0.139477; x2 = 0.0176304
t = 0.3362; x1 = 0.138438; x2 = 0.0175048
t = 0.3382; x1 = 0.137411; x2 = 0.0173805
t = 0.3402; x1 = 0.136395; x2 = 0.0172577
t = 0.3422; x1 = 0.135391; x2 = 0.0171361
t = 0.3442; x1 = 0.134398; x2 = 0.0170159
t = 0.3462; x1 = 0.133416; x2 = 0.016897
t = 0.3482; x1 = 0.132444; x2 = 0.0167793
t = 0.3502; x1 = 0.131484; x2 = 0.0166629
t = 0.3522; x1 = 0.130534; x2 = 0.0165478
t = 0.3542; x1 = 0.129595; x2 = 0.0164338
t = 0.3562; x1 = 0.128665; x2 = 0.0163211
t = 0.3582; x1 = 0.127746; x2 = 0.0162095
t = 0.3602; x1 = 0.126837; x2 = 0.0160992
t = 0.3622; x1 = 0.125938; x2 = 0.0159899
t = 0.3642; x1 = 0.125048; x2 = 0.0158818
t = 0.3662; x1 = 0.124167; x2 = 0.0157748
